epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1507.56,1.98138,2.06778,1.17277,0.22774,0.1916,0.18673,0.07042,2.28824,2.58395,1.32128,0.000416383,0.000416383,0.000416383
2,2996.71,1.73943,1.33511,1.09303,0.21873,0.19375,0.15828,0.04953,2.71738,2.26869,1.49924,0.000750578,0.000750578,0.000750578
3,4479.25,1.68424,1.21156,1.07741,0.71633,0.16271,0.13674,0.04642,2.66109,2.5025,1.49697,0.00100227,0.00100227,0.00100227
4,5956.73,1.62914,1.13363,1.06385,0.74842,0.1435,0.15768,0.05861,2.61931,2.66563,1.47595,0.00087875,0.00087875,0.00087875
5,7437.23,1.57278,1.07547,1.04677,0.2137,0.16309,0.14421,0.04276,2.96828,2.39459,1.63386,0.000755,0.000755,0.000755
6,8915.52,1.53324,1.03387,1.03265,0.20569,0.19253,0.14187,0.04232,2.86892,2.36448,1.56384,0.00063125,0.00063125,0.00063125
7,10391.6,1.50551,0.99993,1.02517,0.22954,0.17184,0.17008,0.05433,2.76084,2.47668,1.53604,0.0005075,0.0005075,0.0005075
8,11870.2,1.4685,0.96984,1.01809,0.35345,0.15785,0.16736,0.05604,2.92357,2.44696,1.59597,0.00038375,0.00038375,0.00038375
9,13351.8,1.44263,0.94152,1.00583,0.4623,0.16147,0.16998,0.05819,2.95681,2.44514,1.63507,0.00026,0.00026,0.00026
10,14825.4,1.40592,0.91479,1.00053,0.67775,0.16518,0.20385,0.07458,2.85884,2.4692,1.58053,0.00013625,0.00013625,0.00013625
